,Phase,AUC,F1_C0,F1_C1,MSE,Prec_C0,Prec_C1,Recal_C0,Recal_C1,LemmVsStem,TrValRatio,nGrams,Balanced,Vocabulary,Time,Ratio,nFeats
0,Tr-RandomForestClassifier,0.789,0.982,0.69,0.035,0.971,0.836,0.992,0.5870000000000001,0,0.3,1,True,False,5.1,1:1,700
1,Val-RandomForestClassifier,0.815,0.982,0.732,0.034,0.973,0.857,0.992,0.639,0,0.3,1,True,False,5.1,1:1,700
2,Tr-DecisionTreeClassifier,0.84,0.98,0.716,0.037000000000000005,0.979,0.735,0.982,0.6970000000000001,0,0.3,1,True,False,16.8,1:1,700
3,Val-DecisionTreeClassifier,0.8420000000000001,0.98,0.735,0.036000000000000004,0.977,0.774,0.984,0.6990000000000001,0,0.3,1,True,False,16.8,1:1,700
4,Tr-SGDClassifier,0.7120000000000001,0.978,0.5710000000000001,0.042,0.961,0.857,0.995,0.429,0,0.3,1,True,False,0.7,1:1,700
5,Val-SGDClassifier,0.741,0.979,0.634,0.04,0.962,0.913,0.996,0.486,0,0.3,1,True,False,0.7,1:1,700
6,Tr-GaussianNB,0.7709999999999999,0.836,0.287,0.267,0.982,0.174,0.728,0.8140000000000001,0,0.3,1,True,False,0.8,1:1,700
7,Val-GaussianNB,0.8009999999999999,0.8140000000000001,0.309,0.294,0.99,0.18600000000000005,0.69,0.912,0,0.3,1,True,False,0.8,1:1,700
8,Tr-AdaBoostClassifier,0.7709999999999999,0.98,0.657,0.038,0.969,0.8170000000000001,0.991,0.55,0,0.3,1,True,False,16.8,1:1,700
9,Val-AdaBoostClassifier,0.768,0.979,0.667,0.039,0.965,0.867,0.994,0.542,0,0.3,1,True,False,16.8,1:1,700
10,Val Soft,0.872,0.985,0.7929999999999999,0.028,0.981,0.836,0.989,0.755,0,0.3,1,True,False,3.0,1:1,700
11,Val Hard,0.8340000000000001,0.984,0.76,0.031,0.975,0.8690000000000001,0.992,0.6759999999999999,0,0.3,1,True,False,3.0,1:1,700
0,Tr-RandomForestClassifier,0.7879999999999999,0.982,0.691,0.034,0.971,0.846,0.993,0.584,1,0.3,1,True,False,4.7,1:1,700
1,Val-RandomForestClassifier,0.795,0.981,0.705,0.036000000000000004,0.969,0.86,0.992,0.597,1,0.3,1,True,False,4.7,1:1,700
2,Tr-DecisionTreeClassifier,0.847,0.981,0.725,0.036000000000000004,0.98,0.738,0.982,0.7120000000000001,1,0.3,1,True,False,17.8,1:1,700
3,Val-DecisionTreeClassifier,0.8390000000000001,0.98,0.726,0.038,0.976,0.7609999999999999,0.983,0.6940000000000001,1,0.3,1,True,False,17.8,1:1,700
4,Tr-SGDClassifier,0.7090000000000001,0.977,0.5660000000000001,0.043,0.961,0.848,0.995,0.424,1,0.3,1,True,False,0.7,1:1,700
